State,County,Total_List,Cancelled,Cancelled_Percent,Postponed,Postponed_Percent,Total_Fallout,Total_Fallout_Percent,Brought_To_Sale_Percent,Brought_To_Sale,Sold,Sold_Percent
California,Tulare,226,46,0.203539823,108,0.477876106,154,0.681415929,0.318584071,72,51,0.708333333
California,Tuolumne,22,4,0.181818182,6,0.272727273,10,0.454545455,0.545454545,12,4,0.333333333
California,Ventura,328,70,0.213414634,236,0.719512195,306,0.932926829,0.067073171,22,14,0.636363636
California,Yolo,51,14,0.274509804,29,0.568627451,43,0.843137255,0.156862745,8,5,0.625
California,Yuba,31,8,0.258064516,17,0.548387097,25,0.806451613,0.193548387,6,3,0.5
Colorado,,1681,308,0.183224271,1141,0.678762641,1449,0.861986913,0.138013087,232,114,0.612903226
Colorado,Adams,135,29,0.214814815,94,0.696296296,123,0.911111111,0.088888889,12,5,0.714285714
Colorado,Arapahoe,260,39,0.15,208,0.8,247,0.95,0.05,13,9,1
Colorado,Bent,1,0,0,0,0,0,0,1,1,1,1
Colorado,Boulder,50,14,0.28,31,0.62,45,0.9,0.1,5,2,0.666666667
Colorado,Broomfield,12,4,0.333333333,8,0.666666667,12,1,0,0,0,0
Colorado,Chaffee,6,0,0,4,0.666666667,4,0.666666667,0.333333333,2,0,0
Colorado,Clear Creek,1,0,0,1,1,1,1,0,0,0,0
Colorado,Crowley,1,0,0,0,0,0,0,1,1,1,1
Colorado,Delta,5,1,0.2,0,0,1,0.2,0.8,4,1,0.25
Colorado,Denver,79,19,0.240506329,54,0.683544304,73,0.924050633,0.075949367,6,6,1
Colorado,Douglas,122,18,0.147540984,99,0.81147541,117,0.959016393,0.040983607,5,4,1
Colorado,Eagle,3,0,0,1,0.333333333,1,0.333333333,0.666666667,2,2,1
Colorado,El Paso,364,54,0.148351648,237,0.651098901,291,0.799450549,0.200549451,73,43,0.682539683
Colorado,Elbert,5,4,0.8,1,0.2,5,1,0,0,0,0
Colorado,Fremont,5,2,0.4,2,0.4,4,0.8,0.2,1,0,0
Colorado,Garfield,36,5,0.138888889,20,0.555555556,25,0.694444444,0.305555556,11,3,0.375
Colorado,Gilpin,16,1,0.0625,15,0.9375,16,1,0,0,0,0
Colorado,Grand,7,1,0.142857143,6,0.857142857,7,1,0,0,0,0
Colorado,Gunnison,11,1,0.090909091,9,0.818181818,10,0.909090909,0.090909091,1,0,0
Colorado,Huerfano,3,2,0.666666667,0,0,2,0.666666667,0.333333333,1,0,0
Colorado,Jefferson,153,41,0.267973856,107,0.699346405,148,0.967320261,0.032679739,5,5,1
Colorado,Kit Carson,3,3,1,0,0,3,1,0,0,0,0
Colorado,La Plata,8,3,0.375,2,0.25,5,0.625,0.375,3,0,0
Colorado,Lake,1,0,0,0,0,0,0,1,1,0,0
Colorado,Larimer,52,12,0.230769231,36,0.692307692,48,0.923076923,0.076923077,4,1,0.333333333
Colorado,Las Animas,7,2,0.285714286,3,0.428571429,5,0.714285714,0.285714286,2,0,0
Colorado,Logan,1,0,0,1,1,1,1,0,0,0,0
Colorado,Mesa,64,9,0.140625,33,0.515625,42,0.65625,0.34375,22,7,0.411764706
Colorado,Moffat,3,0,0,0,0,0,0,1,3,1,0.5
Colorado,Montezuma,4,0,0,2,0.5,2,0.5,0.5,2,1,0.5
Colorado,Montrose,13,3,0.230769231,6,0.461538462,9,0.692307692,0.307692308,4,1,0.25
Colorado,Morgan,1,1,1,0,0,1,1,0,0,0,0
Colorado,Otero,3,1,0.333333333,0,0,1,0.333333333,0.666666667,2,0,0
Colorado,Ouray,1,0,0,0,0,0,0,1,1,0,0
Colorado,Park,3,0,0,1,0.333333333,1,0.333333333,0.666666667,2,0,0
Colorado,Pitkin,6,1,0.166666667,4,0.666666667,5,0.833333333,0.166666667,1,0,0
Colorado,Pueblo,114,9,0.078947368,75,0.657894737,84,0.736842105,0.263157895,30,15,0.625
Colorado,Rio Blanco,2,0,0,1,0.5,1,0.5,0.5,1,1,1
Colorado,Rio Grande,1,0,0,0,0,0,0,1,1,0,0
Colorado,Routt,4,1,0.25,2,0.5,3,0.75,0.25,1,0,0
Colorado,Sedgwick,1,0,0,0,0,0,0,1,1,0,0
Colorado,Summit,2,1,0.5,0,0,1,0.5,0.5,1,0,0
Colorado,Teller,14,2,0.142857143,11,0.785714286,13,0.928571429,0.071428571,1,0,0
Colorado,Weld,96,24,0.25,66,0.6875,90,0.9375,0.0625,6,5,0.833333333
Colorado,Yuma,2,1,0.5,1,0.5,2,1,0,0,0,0
Connecticut,,5,1,0.2,0,0,1,0.2,0.8,4,1,1
Connecticut,Hartford,2,1,0.5,0,0,1,0.5,0.5,1,1,1
Connecticut,Middlesex,1,0,0,0,0,0,0,1,1,0,0
Connecticut,New Haven,2,0,0,0,0,0,0,1,2,0,0
Delaware,,43,20,0.465116279,0,0,20,0.465116279,0.534883721,23,8,0.363636364
Delaware,Kent,16,7,0.4375,0,0,7,0.4375,0.5625,9,3,0.375
Delaware,New Castle,20,8,0.4,0,0,8,0.4,0.6,12,5,0.416666667
Delaware,Sussex,7,5,0.714285714,0,0,5,0.714285714,0.285714286,2,0,0
Florida,,15446,7091,0.459083258,0,0,7091,0.459083258,0.540916742,8355,3038,0.37203037
Florida,Alachua,105,37,0.352380952,0,0,37,0.352380952,0.647619048,68,11,0.166666667
Florida,Baker,11,4,0.363636364,0,0,4,0.363636364,0.636363636,7,3,0.6
Florida,Bay,114,19,0.166666667,0,0,19,0.166666667,0.833333333,95,22,0.23655914
Florida,Bradford,8,2,0.25,0,0,2,0.25,0.75,6,0,0
Florida,Brevard,347,110,0.317002882,0,0,110,0.317002882,0.682997118,237,89,0.385281385
Florida,Broward,2309,1566,0.678215678,0,0,1566,0.678215678,0.321784322,743,293,0.404137931
Florida,Calhoun,3,2,0.666666667,0,0,2,0.666666667,0.333333333,1,0,0
Florida,Charlotte,178,51,0.286516854,0,0,51,0.286516854,0.713483146,127,42,0.336
Florida,Citrus,141,32,0.226950355,0,0,32,0.226950355,0.773049645,109,18,0.165137615
Florida,Clay,109,32,0.293577982,0,0,32,0.293577982,0.706422018,77,23,0.302631579
Florida,Collier,80,33,0.4125,0,0,33,0.4125,0.5875,47,17,0.395348837
Florida,Columbia,15,5,0.333333333,0,0,5,0.333333333,0.666666667,10,1,0.111111111
Florida,De Soto,11,5,0.454545455,0,0,5,0.454545455,0.545454545,6,0,0
Florida,Desoto,2,1,0.5,0,0,1,0.5,0.5,1,1,1
Florida,Dixie,3,1,0.333333333,0,0,1,0.333333333,0.666666667,2,0,0
Florida,Duval,989,465,0.470171891,0,0,465,0.470171891,0.529828109,524,217,0.423001949
Florida,Escambia,167,59,0.353293413,0,0,59,0.353293413,0.646706587,108,35,0.327102804
Florida,Flagler,65,25,0.384615385,0,0,25,0.384615385,0.615384615,40,15,0.375
Florida,Franklin,6,1,0.166666667,0,0,1,0.166666667,0.833333333,5,1,0.2
Florida,Gadsden,12,4,0.333333333,0,0,4,0.333333333,0.666666667,8,1,0.125
Florida,Gilchrist,7,1,0.142857143,0,0,1,0.142857143,0.857142857,6,0,0
Florida,Glades,5,1,0.2,0,0,1,0.2,0.8,4,0,0
Florida,Gulf,3,0,0,0,0,0,0,1,3,0,0
Florida,Hamilton,1,0,0,0,0,0,0,1,1,0,0
Florida,Hardee,2,1,0.5,0,0,1,0.5,0.5,1,1,1
Florida,Hendry,9,2,0.222222222,0,0,2,0.222222222,0.777777778,7,4,0.571428571
Florida,Hernando,155,43,0.277419355,0,0,43,0.277419355,0.722580645,112,28,0.256880734
Florida,Highlands,49,7,0.142857143,0,0,7,0.142857143,0.857142857,42,8,0.19047619
Florida,Hillsborough,1241,538,0.433521354,0,0,538,0.433521354,0.566478646,703,295,0.434462445
Florida,Holmes,3,0,0,0,0,0,0,1,3,1,0.333333333
Florida,Indian River,88,34,0.386363636,0,0,34,0.386363636,0.613636364,54,19,0.351851852
Florida,Jackson,11,5,0.454545455,0,0,5,0.454545455,0.545454545,6,1,0.2
Florida,Jefferson,1,0,0,0,0,0,0,1,1,0,0
Florida,Lafayette,3,1,0.333333333,0,0,1,0.333333333,0.666666667,2,0,0
Florida,Lake,140,53,0.378571429,0,0,53,0.378571429,0.621428571,87,24,0.279069767
Florida,Lee,274,76,0.277372263,0,0,76,0.277372263,0.722627737,198,71,0.362244898
Florida,Leon,168,52,0.30952381,0,0,52,0.30952381,0.69047619,116,25,0.217391304
Florida,Levy,11,1,0.090909091,0,0,1,0.090909091,0.909090909,10,0,0
Florida,Madison,2,0,0,0,0,0,0,1,2,0,0
Florida,Manatee,151,55,0.364238411,0,0,55,0.364238411,0.635761589,96,31,0.322916667
Florida,Marion,283,83,0.293286219,0,0,83,0.293286219,0.706713781,200,57,0.286432161
Florida,Martin,75,28,0.373333333,0,0,28,0.373333333,0.626666667,47,21,0.446808511
